RFQ,Ord DT,Customer,X,Y,Sq.in,#Hls,LY,Line,Aring,Min Aring,Thick,Thick Mil,Mhole,Smallest_Hole_Calc,AR,AR Cal,Cu wt,CuW,CI,CI Final,EI#,Rel,Rel Dt,Shp Dt,Due Dt,Pnl X,Pnl Y,Qty Pnl,# Pnls,LY,Matl,UP,Pcs_Array,RMA_NO,CAType,RMA_Amt
149217,11/7/19,AVCOM SMT INC.,6.735,7.28,49.0308,2777,10,4.28,6.26,6.26,0.062,62,6,6,10.5,10.5,1/1,1,93180.30517,931.8030517,LM83024,-1,1/10/20,NULL,2/5/20,0,0,0,NULL,10,FR-TG170            ,4,NULL,NULL,NULL,NULL
149221,11/7/19,AVCOM SMT INC.,6.735,7.28,49.0308,2224,12,5,6.25,6.25,0.07,70,6,6,10.5,10.5,1/1,1,88542.90232,885.4290232,LM83022,-1,1/10/20,NULL,2/18/20,0,0,0,NULL,12,FR-TG170            ,4,NULL,NULL,NULL,NULL
149221,11/7/19,AVCOM SMT INC.,6.735,7.28,49.0308,2224,12,5,6.25,6.25,0.07,70,6,6,10.5,10.5,1/1,1,88542.90232,885.4290232,LM83022,-01A,1/10/20,NULL,2/25/20,0,0,NULL,NULL,12,FR-TG170            ,4,NULL,NULL,NULL,NULL
145042,3/28/19,"TECHNOTRONIX, LLC",2.5,1.75,4.375,153,2,6.98,8,8,0.062,62,16,16,3.9,3.9,1/1,1,12.2847067,0.122847067,HP81480,-1,3/28/19,4/12/19,4/12/19,0,0,1,0,2,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
143886,2/6/19,"COMPUTROL, INC",4.75,6.5,30.875,1034,8,4,4.95,4.95,0.062,62,8,8,7.8,7.8,1/1,1,14350.07901,143.5007901,HP81257,-1,2/21/19,3/19/19,3/20/19,0,0,12,0,8,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
33983-A,5/15/19,TREK/AE Inc,11.4,4.9,55.86,88,2,10,0,6,0.062,62,12,12,0,5.166666667,3/3,3,0.298133968,0.00298134,E40922,-1,8/8/06,8/15/06,8/15/06,12,14,1,3,2,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
33983-A,5/15/19,TREK/AE Inc,11.4,4.9,55.86,88,2,10,0,6,0.062,62,12,12,0,5.166666667,3/3,3,0.298133968,0.00298134,E40922,-2,4/20/07,4/27/07,4/30/07,12,14,3,5,2,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
33983-A,5/15/19,TREK/AE Inc,11.4,4.9,55.86,88,2,10,0,6,0.062,62,12,12,0,5.166666667,3/3,3,0.298133968,0.00298134,E40922,-3,1/21/10,1/29/10,2/2/10,12,14,3,6,2,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
33983-A,5/15/19,TREK/AE Inc,11.4,4.9,55.86,88,2,10,0,6,0.062,62,12,12,0,5.166666667,3/3,3,0.298133968,0.00298134,E40922,-4,4/30/15,5/7/15,5/7/15,12,14,3,5,2,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
33983-A,5/15/19,TREK/AE Inc,11.4,4.9,55.86,88,2,10,0,6,0.062,62,12,12,0,5.166666667,3/3,3,0.298133968,0.00298134,E40922,-5,8/15/17,8/21/17,8/25/17,12,14,3,5,2,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
33983-A,5/15/19,TREK/AE Inc,11.4,4.9,55.86,88,2,10,0,6,0.062,62,12,12,0,5.166666667,3/3,3,0.298133968,0.00298134,E40922,-6,5/15/19,5/21/19,5/21/19,16,18,1,2,2,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
149765,12/6/19,CONCEPT TECHNOLOGY,4.4487,2.69,11.967003,500,2,8,0,6,0.062,62,6,6,10.33333333,10.33333333,1/1,1,56.1580047,0.561580047,AA83186,-1,2/6/20,NULL,3/4/20,0,0,0,NULL,2,FR-4                ,16,NULL,NULL,NULL,NULL
